brand,total_brand_tweets,total_inbound_tweets,thread_count,avg_turns_per_thread,median_turns_per_thread,pct_threads_3plus_turns,dm_deflection_rate_pct,tech_link_density_pct,customer_confirm_rate_pct,pii_exposure_rate_pct,rag_score
askplaystation,19098,22176,12525,3.42,2.0,45.66,25.26,42.84,14.41,6.83,0.5041194060318408
argoshelpers,12174,14525,7536,3.74,3.0,54.67,30.15,10.26,24.79,9.25,0.5027256433322524
airasiasupport,12829,12984,6763,3.99,2.0,48.32,17.4,14.01,24.04,14.34,0.5021894488856791
marksandspencer,11504,12457,7940,3.22,2.0,43.61,11.28,14.91,22.51,3.1,0.4974378206199007
askebay,9686,10263,5622,3.72,2.0,49.31,28.45,31.06,18.0,10.92,0.4941030923194548
americanair,36764,45152,26207,3.29,2.0,43.49,16.79,11.11,21.65,3.17,0.4900304840777613
southwestair,28977,33105,21521,2.98,2.0,33.07,17.08,20.31,25.43,3.46,0.4887560989201938
morrisons,10126,9961,5928,3.48,3.0,53.42,25.79,2.23,23.94,2.97,0.4884453749653226
askrbc,1011,1282,837,2.86,2.0,42.65,18.2,32.94,22.22,11.23,0.48758638999860493
ask_spectrum,25860,28847,18446,3.16,2.0,35.1,49.64,66.19,13.98,6.15,0.48741378608386743
kimpton,1339,1469,1053,2.73,2.0,31.43,2.17,7.39,29.53,2.04,0.47922878789655027
carlsjr,196,230,166,2.73,2.0,34.34,5.61,45.41,11.45,1.74,0.4707062980068062
neweggservice,1079,1182,795,3.11,3.0,50.94,44.67,30.21,20.25,7.87,0.4692682128747557
virginamerica,2815,3330,2099,3.05,2.0,38.11,13.93,21.39,20.63,4.59,0.4666007242947121
coxhelp,7861,8628,4840,3.55,2.0,46.3,44.28,36.23,15.91,6.7,0.4654717282167849
airtel_care,9881,7662,4013,4.5,3.0,52.75,18.0,16.98,14.78,21.87,0.4589782438174501
pandorasupport,1043,1213,724,3.17,2.0,36.33,37.87,50.53,15.61,8.66,0.45826733768254235
upshelp,17817,21653,15269,2.76,2.0,33.37,69.15,85.55,12.36,11.57,0.45814417263453666
chipotletweets,18749,21886,14390,2.91,2.0,33.83,0.78,29.01,12.11,1.35,0.456239679617355
asklyft,11809,13341,10143,2.65,2.0,29.58,55.42,82.37,10.86,7.56,0.4554181084851766
keybank_help,555,630,372,3.29,2.0,49.73,25.95,20.72,16.94,10.16,0.4496673702177064
safaricom_care,16077,16803,9337,3.61,3.0,53.12,19.34,20.79,17.04,26.51,0.44435476567276583
airbnbhelp,8875,9687,6030,3.32,2.0,38.49,58.99,40.17,20.35,10.49,0.4373900777723331
vmucare,1381,1569,720,4.44,3.0,52.36,25.63,28.24,14.58,32.89,0.43516605648398504
chasesupport,8811,8873,6789,2.74,2.0,27.97,47.46,59.38,15.53,8.46,0.4308494004230648
ask_wellsfargo,7578,8066,6013,2.73,2.0,28.32,38.41,61.44,10.98,6.14,0.42957064857791194
greggsofficial,4522,5656,3338,3.26,2.0,46.97,17.01,8.74,13.18,0.95,0.4291057330752528
askvisa,709,648,473,2.98,2.0,47.57,3.39,16.5,10.78,9.41,0.42323400448694354
askrobinhood,432,526,353,2.91,2.0,35.69,5.79,23.84,12.75,5.32,0.42250488367464833
att,2790,3200,2027,3.28,2.0,43.22,57.06,39.57,14.26,11.91,0.40768179837206386
ask_progressive,612,708,543,2.6,2.0,27.81,54.41,51.47,18.78,9.18,0.4073802540242713
asktarget,13218,16171,11118,2.74,2.0,33.73,34.14,28.42,15.07,5.16,0.3995214516223502
comcastcares,33031,34056,23908,3.01,2.0,36.13,71.8,43.57,14.71,6.67,0.39922050405820697
tacobellteam,4082,4681,3107,2.89,2.0,37.59,40.47,32.88,11.14,2.39,0.39608438035269444
sprintcare,22381,24227,13370,3.79,2.0,46.32,48.19,25.4,11.17,17.52,0.3876998895100553
walmart,2643,2848,2404,2.48,2.0,21.17,0.15,5.9,19.76,1.02,0.38283533391771213
arbyscares,1904,2135,1555,2.7,2.0,33.7,2.94,7.3,12.93,2.44,0.3817998066639524
tmobilehelp,34317,38678,22647,3.52,2.0,37.33,82.1,53.14,13.47,20.62,0.380583897909038
hoteltonightcx,152,169,123,2.75,2.0,31.71,23.03,16.45,16.26,6.51,0.3762175438972143
aldiuk,8114,9381,6608,2.76,2.0,32.04,28.38,6.86,17.37,1.41,0.37017518877789696
mtnc_care,784,972,529,3.74,3.0,53.31,37.12,10.84,2.84,5.86,0.35772964380392835
centurylinkhelp,3801,4295,2952,3.04,2.0,40.28,78.03,34.44,14.97,9.13,0.3569340163185783
asurioncares,1898,2115,1035,4.1,2.0,49.66,29.24,7.9,14.01,35.6,0.34700431006724
postmates_help,3346,4084,3001,2.58,2.0,27.72,76.96,58.07,10.6,9.57,0.33786718621859413
askpaypal,11298,12837,9475,2.79,2.0,30.91,72.5,32.52,13.57,11.94,0.31170628758210495
sizehelpteam,1482,1930,1251,2.82,2.0,38.53,67.88,6.82,18.63,11.71,0.3033097740175859
mcdonalds,8478,10304,8132,2.4,2.0,17.03,0.68,11.32,5.12,0.38,0.29645036842294326
jackbox,266,287,233,2.55,2.0,28.33,31.58,4.51,8.58,1.74,0.2816365577127604
askpapajohns,3908,4658,3153,2.83,2.0,33.37,62.08,3.76,12.4,5.17,0.27090332126371935
boostcare,907,1040,663,3.17,2.0,35.75,44.21,17.75,12.67,34.62,0.26997945209610286
askpanera,2153,2579,1978,2.47,2.0,27.81,67.72,15.61,12.23,3.22,0.2673008468896187
askdsc,210,229,198,2.27,2.0,17.17,70.48,30.48,10.61,4.8,0.24625064974622818
hiltonhelp,833,946,714,2.82,2.0,32.77,80.55,5.16,13.73,8.25,0.2402268231770644
kfc_uki_help,2103,2689,2017,2.51,2.0,29.85,70.23,1.85,10.01,2.42,0.22408306203877149
dunkindonuts,1290,1483,1258,2.27,2.0,17.97,53.18,2.79,11.21,4.38,0.2105914097423638
doordash_help,1581,1975,1506,2.53,2.0,30.35,93.55,4.3,10.36,8.05,0.18097935712725688
